stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
441_01,,下波田公民館,,36.1914211194371,137.858055449095,441_01,,0,
442_01,,８区公園,,36.1888172406429,137.85767364022,442_01,,0,
443_01,,２１区十字路,,36.1744609985094,137.848195862985,443_01,,0,
444_01,,波田土建資材置場,,36.1824896804891,137.851528590787,444_01,,0,
445_01,,９区公民館,,36.1864563062651,137.85406293643,445_01,,0,
446_01,,ＪＡ中波田,,36.1907961057469,137.854757149912,446_01,,0,
447_01,,雄勝堂前,,36.1922542606933,137.854305743066,447_01,,0,
448_01,,諏訪社,,36.1915424675131,137.851632392851,448_01,,0,
449_01,,夫婦堤,,36.1858833475699,137.849896655256,449_01,,0,
45_01,,ゆめひろば庄内,,36.2171591491137,137.978842528018,45_01,,0,
450_01,,盛泉寺,,36.1894419415605,137.84885493959,450_01,,0,
451_01,,１２区公民館前,,36.1927922376659,137.848264581652,451_01,,0,
452_01,,天理教前,,36.1944587585747,137.850000476031,452_01,,0,
453_01,,おいべっさま前,,36.1931480217907,137.84524399755,453_01,,0,
454_01,,上波田詰所前,,36.1927861517353,137.8431804515,454_01,,0,
455_01,,波多神社,,36.1919588060775,137.840765267876,455_01,,0,
456_01,,稲荷神社,,36.1916634725087,137.83191188435,456_01,,0,
457_01,,山麓島々館,,36.1857045535046,137.808604977446,457_01,,0,
46_01,,ライフスクエアコモ庄内,,36.2199278605427,137.976169040316,46_01,,0,
460_01,,桃団地車庫前,,36.2056386167274,137.872498076257,460_01,,0,
461_01,,中巾中央,,36.2060205955424,137.875518631392,461_01,,0,
462_01,,小沢理容店入口,,36.2069667728775,137.879580740259,462_01,,0,
463_01,,１９区公民館,,36.1958831134413,137.885101528664,463_01,,0,
464_01,,下原霊園西,,36.1995805804345,137.884059807306,464_01,,0,
465_01,,森口南,,36.2027833257662,137.883538893356,465_01,,0,
466_01,,森口整形外科前,,36.2081819969405,137.8828790162,466_01,,0,
467_01,,三溝県住,,36.2096750648565,137.88996167374,467_01,,0,
468_01,,１区公民館,,36.213181628064,137.890725358056,468_01,,0,
469_01,,旧道区境,,36.2113674979728,137.88680216015,469_01,,0,
47_01,,ハローワーク入口,,36.221299234254,137.97627314378,47_01,,0,
470_01,,お米の大将前,,36.2096141598351,137.884233008544,470_01,,0,
471_01,,２区公民館,,36.2121484872359,137.880170762724,471_01,,0,
472_01,,新田公民館跡,,36.2100739039078,137.873678354488,472_01,,0,
473_01,,押出詰所前,,36.2059420947068,137.860624098946,473_01,,0,
474_01,,波田支所,,36.2009512330377,137.856249676347,474_01,,0,
475_01,,中学校前,波田中,36.2010813834515,137.854583149783,475_01,,0,
476_01,,東電南,,36.1984039391011,137.848974402731,476_01,,0,
477_01,,渕東保育園東,,36.1962465039154,137.840522065103,477_01,,0,
478_01,,天神原,,36.1954479097608,137.83764040316,478_01,,0,
479_01,,保健福祉センター,,36.2003972016951,137.865851696552,479_01,,0,
48_01,,薄川橋南,,36.2237555146796,137.974884278811,48_01,,0,
480_01,,きろろ,,36.2048920962746,137.869477535462,480_01,,0,
481_01,,春宮燃料前,,36.1961340208933,137.854131994646,481_01,,0,
482_01,,中野医院,,36.1932389235689,137.854517565255,482_01,,0,
483_01,,ガーデンハイツ安藤,,36.194497358658,137.856218984857,483_01,,0,
49_01,,相澤健康センター入口,,36.2266978767376,137.974502251439,49_01,,0,
496_01,,臨空工業団地,,36.1851121423397,137.899302104385,496_01,,0,
497_01,,神林川西,,36.1883412028663,137.909474702685,497_01,,0,
498_01,,水代橋,,36.1877771227996,137.91301608319,498_01,,0,
499_01,,神林川東,,36.1874560714138,137.916592173347,499_01,,0,
50_01,,中条東,,36.2273313732584,137.970197045668,50_01,,0,
500_01,,権現原,,36.1870482710882,137.921973665307,500_01,,0,
501_01,,下神公民館前,,36.1967435257692,137.929021281156,501_01,,0,
502_01,,下神東,,36.1971428827021,137.93277093897,502_01,,0,
503_01,,おぶ～,,36.2043039260049,137.948359577471,503_01,,0,
504_02,,信明中学校,,36.2059791150037,137.949644121833,504_02,,0,
505_01,,石芝町,,36.2055973166997,137.953602125659,505_01,,0,
51_01,,本町五丁目,,36.2293102902771,137.969294268345,51_01,,0,
511_01,,新島々駅,,36.1899446512827,137.82153091213,511_01,,0,
512_01,,土木センター西,,36.2420869677338,137.934309330507,512_01,,0,
513_01,,農協倉庫前,,36.2402683236511,137.930893392043,513_01,,0,
514_01,,梓橋駅,,36.2506683841835,137.918079432812,514_01,,0,
515_01,,氷室口,,36.2450077237037,137.912970395503,515_01,,0,
516_01,,氷室四つ角,,36.2430174372534,137.907264659462,516_01,,0,
517_01,,氷室,,36.2418929135869,137.904396430922,517_01,,0,
518_01,,薬師堂前,,36.2397583010139,137.901596786624,518_01,,0,
519_01,,消防団３９分団前,,36.2373155456135,137.899420999567,519_01,,0,
52_01,,本町,,36.2334938415357,137.969363541537,52_01,,0,
52_02,,本町,,36.2321137873908,137.969224719241,52_02,,0,
520_01,,横沢下町,,36.2347104301464,137.896296063079,520_01,,0,
521_01,,倭郵便局前,,36.2410729668858,137.894459224802,521_01,,0,
522_01,,アカデミア館前,,36.235032930115,137.892088923992,522_01,,0,
523_01,,梓川高校前,,36.205511467243,137.868139715517,523_01,,0,
524_01,,松本支援学校前,,36.1531218780445,137.903701608718,524_01,,0,
53_01,,大名町,,36.2360569,137.9697619,53_01,,0,
53_02,,大名町,,36.2358112965985,137.969814799597,53_02,,0,
54_01,,丸の内,,36.2364970009889,137.970543875695,54_01,,0,
540_01,,公会堂前,,36.0523476895737,137.689468593564,540_01,,0,
541_01,,寄合渡中,,36.0524553826447,137.688677832314,541_01,,0,
542_01,,栃洞橋,,36.0476834783616,137.678185595299,542_01,,0,
544_01,,まつもと医療センター前,,36.1742,137.9636,544_01,,0,
544_02,,まつもと医療センター前,,36.174419,137.962755,544_02,,0,
545_01,,古池,,36.15223716,137.8932466,545_01,,0,
546_01,,鉢盛中学校,,36.14594734,137.8838272,546_01,,0,
547_01,,大原,,36.14448337,137.880549,547_01,,0,
548_01,,下古見,,36.14103724,137.8733754,548_01,,0,
549_01,,大柿前,,36.13925455,137.8713262,549_01,,0,
55_01,,上土町,,36.2365317750515,137.972696464676,55_01,,0,
550_01,,芦之久保,,36.13598798,137.8667584,550_01,,0,
551_01,,古川寺口,,36.1334876,137.8639763,551_01,,0,
552_01,,上古見,,36.13240391,137.8628866,552_01,,0,
553_01,,中央公民館,,36.12579099,137.8639126,553_01,,0,
554_01,,小野沢,,36.12341594,137.8660919,554_01,,0,
555_01,,本郷口,,36.1214839,137.8697444,555_01,,0,
556_01,,中坂,,36.12159493,137.874449,556_01,,0,
557_01,,中組,,36.12084258,137.881939,557_01,,0,
559_01,,明科駅,,36.3546132948718,137.930585936523,559_01,,0,
56_01,,松本城・市役所前,,36.2382936957607,137.971515942299,56_01,,0,
56_02,,松本城・市役所前,,36.2383891682544,137.971411780929,56_02,,0,
560_01,,神社裏,,36.3578188914576,137.932167053212,560_01,,0,
561_01,,吐中,,36.3525593630871,137.939152941865,561_01,,0,
562_01,,平,,36.3500050573198,137.942842046534,562_01,,0,
563_01,,大足,,36.3486311713221,137.946887027155,563_01,,0,
