table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja-Hrkt,すがのちゅうがっこうまえ,171_01,,
stops,stop_name,ja-Hrkt,すがのちゅうがっこうまえ,171_02,,
stops,stop_name,ja-Hrkt,まつもとたんだいぐち,172_01,,
stops,stop_name,ja-Hrkt,まつもとたんだいぐち,172_02,,
stops,stop_name,ja-Hrkt,やまびこどーむまえ,173_01,,
stops,stop_name,ja-Hrkt,やまびこどーむまえ,173_02,,
stops,stop_name,ja-Hrkt,こまた,174_01,,
stops,stop_name,ja-Hrkt,こまた,174_02,,
stops,stop_name,ja-Hrkt,くうこうひがしく,175_01,,
stops,stop_name,ja-Hrkt,くうこうひがしく,175_02,,
stops,stop_name,ja-Hrkt,しんしゅうまつもとくうこう,176_01,,
stops,stop_name,ja-Hrkt,まつもとくうこういりぐち,177_01,,
stops,stop_name,ja-Hrkt,まつもとくうこういりぐち,177_02,,
stops,stop_name,ja-Hrkt,しんしゅうすかいぱーくたいいくせんたー,178_01,,
stops,stop_name,ja-Hrkt,しんしゅうすかいぱーくたいいくせんたー,178_02,,
stops,stop_name,ja-Hrkt,きたこうちぐち,179_01,,
stops,stop_name,ja-Hrkt,きたこうちぐち,179_02,,
stops,stop_name,ja-Hrkt,しもいまい,180_01,,
stops,stop_name,ja-Hrkt,しもいまい,180_02,,
stops,stop_name,ja-Hrkt,ほら,188_01,,
stops,stop_name,ja-Hrkt,ほら,188_02,,
stops,stop_name,ja-Hrkt,やましろ,189_01,,
stops,stop_name,ja-Hrkt,やましろ,189_02,,
stops,stop_name,ja-Hrkt,いぶか,190_01,,
stops,stop_name,ja-Hrkt,いぶか,190_02,,
stops,stop_name,ja-Hrkt,くみあいした,191_01,,
stops,stop_name,ja-Hrkt,くみあいした,191_02,,
stops,stop_name,ja-Hrkt,とうげぐち,192_01,,
stops,stop_name,ja-Hrkt,とうげぐち,192_02,,
stops,stop_name,ja-Hrkt,しなぐら,193_01,,
stops,stop_name,ja-Hrkt,しなぐら,193_02,,
stops,stop_name,ja-Hrkt,こびなた,194_01,,
stops,stop_name,ja-Hrkt,こびなた,194_02,,
stops,stop_name,ja-Hrkt,こびなたばし,195_01,,
stops,stop_name,ja-Hrkt,こびなたばし,195_02,,
stops,stop_name,ja-Hrkt,りょうしまぐち,196_01,,
stops,stop_name,ja-Hrkt,りょうしまぐち,196_02,,
stops,stop_name,ja-Hrkt,りょうしま,197_01,,
stops,stop_name,ja-Hrkt,りょうしま,197_02,,
stops,stop_name,ja-Hrkt,ささべ,198_01,,
stops,stop_name,ja-Hrkt,ささべ,198_02,,
stops,stop_name,ja-Hrkt,さつきちょう,199_01,,
stops,stop_name,ja-Hrkt,さつきちょう,199_02,,
stops,stop_name,ja-Hrkt,つきみちょう,200_01,,
stops,stop_name,ja-Hrkt,つきみちょう,200_02,,
stops,stop_name,ja-Hrkt,ささべだんち,201_01,,
stops,stop_name,ja-Hrkt,きたくりひがし,202_01,,
stops,stop_name,ja-Hrkt,きたくりひがし,202_02,,
stops,stop_name,ja-Hrkt,きたくりみなみ,203_01,,
stops,stop_name,ja-Hrkt,きたくりみなみ,203_02,,
stops,stop_name,ja-Hrkt,みなみくりぐち,204_01,,
stops,stop_name,ja-Hrkt,みなみくりぐち,204_02,,
