fare_id,route_id,origin_id,destination_id
170,21,159_01,198_01
170,21,159_01,199_01
170,21,159_01,200_01
170,21,159_01,201_01
170,21,196_01,197_01
170,21,196_01,198_01
170,21,196_01,199_01
170,21,196_01,200_01
170,21,196_01,201_01
170,21,196_02,159_02
170,21,197_01,198_01
170,21,197_01,199_01
170,21,197_01,200_01
170,21,197_01,201_01
170,21,197_02,159_02
170,21,197_02,196_02
170,21,198_01,199_01
170,21,198_01,200_01
170,21,198_01,201_01
170,21,198_01,202_01
170,21,198_01,203_01
170,21,198_01,204_01
170,21,198_02,159_02
170,21,198_02,196_02
170,21,198_02,197_02
170,21,199_01,200_01
170,21,199_01,201_01
170,21,199_01,202_01
170,21,199_01,203_01
170,21,199_01,204_01
170,21,199_02,159_02
170,21,199_02,196_02
170,21,199_02,197_02
170,21,199_02,198_02
170,21,200_01,201_01
170,21,200_01,202_01
170,21,200_01,203_01
170,21,200_01,204_01
170,21,200_02,159_02
170,21,200_02,196_02
170,21,200_02,197_02
170,21,200_02,198_02
170,21,200_02,199_02
170,21,201_01,159_02
170,21,201_01,196_02
170,21,201_01,197_02
170,21,201_01,198_02
170,21,201_01,199_02
170,21,201_01,200_02
170,21,201_01,202_01
170,21,201_01,203_01
170,21,201_01,204_01
170,21,202_01,203_01
170,21,202_01,204_01
170,21,202_02,198_02
170,21,202_02,199_02
170,21,202_02,200_02
170,21,202_02,201_01
170,21,203_01,204_01
170,21,203_02,198_02
170,21,203_02,199_02
170,21,203_02,200_02
170,21,203_02,201_01
170,21,203_02,202_02
170,21,204_01,205_01
170,21,204_01,206_01
170,21,204_02,198_02
170,21,204_02,199_02
170,21,204_02,200_02
170,21,204_02,201_01
170,21,204_02,202_02
170,21,204_02,203_02
170,21,205_01,206_01
170,21,205_02,204_02
170,21,206_01,207_01
170,21,206_01,208_01
170,21,206_02,204_02
170,21,206_02,205_02
170,21,207_01,208_01
170,21,207_02,206_02
170,21,208_01,209_01
170,21,208_01,210_01
170,21,208_01,211_01
170,21,208_02,206_02
170,21,208_02,207_02
170,21,209_01,210_01
170,21,209_01,211_01
170,21,209_02,208_02
170,21,210_01,211_01
170,21,210_02,208_02
170,21,210_02,209_02
170,21,211_02,208_02
170,21,211_02,209_02
170,21,211_02,210_02
170,21,213_01,214_01
170,21,213_01,215_01
170,21,213_01,216_01
170,21,213_01,217_01
170,21,214_01,215_01
170,21,214_01,216_01
170,21,214_01,217_01
170,21,214_02,213_02
170,21,215_01,216_01
170,21,215_01,217_01
170,21,215_02,213_02
170,21,215_02,214_02
170,21,216_01,217_01
170,21,216_02,213_02
170,21,216_02,214_02
170,21,216_02,215_02
170,21,217_01,218_01
